aoi_id,task_id,semantic_type,center_x_m,center_y_m,length_m,width_m,priority,initially_known,release_time_s,eo_path_sample_index,eo_x_m,eo_y_m,eo_heading_rad
A01,1,Hospital,1000.0,4500.0,240.0,160.0,10.0,True,0.0,,,,
A02,2,School,4700.0,4800.0,220.0,160.0,8.0,False,1708.0778421608236,5995,4540.0,4780.4602288901015,0.0
A03,3,Bridge,2900.0,5200.0,180.0,120.0,8.0,False,1858.0664820648922,6522,3050.0,5334.716487312142,3.141592653589793
A04,4,Residential damage,1500.0,3300.0,300.0,180.0,7.0,False,1118.1119224486113,3924,1590.0,3117.6914536239797,3.141592653589793
A05,5,Main-road junction,4300.0,3200.0,180.0,120.0,7.0,True,0.0,,,,
A06,6,Apartment block,2800.0,2800.0,300.0,200.0,6.0,False,874.1232825445411,3068,2710.0,2563.4351952019388,0.0
A07,7,Emergency shelter,800.0,2000.0,220.0,150.0,9.0,False,746.1346426404763,2618,930.0,2009.1789367798979,3.141592653589793
A08,8,Industrial block,5100.0,2100.0,300.0,180.0,6.0,False,624.4203569261906,2192,5190.0,2009.1789367798979,3.141592653589793
A09,9,Bridge,3400.0,1400.0,180.0,120.0,8.0,False,497.8602884506971,1747,3220.0,1454.922678357857,0.0
A10,10,Residential damage,1800.0,1200.0,280.0,180.0,5.0,False,454.4317170221257,1595,1700.0,1454.922678357857,0.0
A11,11,School,4200.0,900.0,220.0,150.0,8.0,False,257.0145056894893,902,4370.0,900.6664199358163,3.141592653589793
A12,12,Clinic,2500.0,4000.0,200.0,140.0,9.0,True,0.0,,,,
