aoi_id,task_id,semantic_type,priority,initially_known,initial_information_source,release_time_before_s,release_time_after_s,release_time_change_s,eo_path_sample_index,eo_x_m,eo_y_m,eo_heading_rad,center_x_m,center_y_m
A01,1,Hospital,10.0,True,multi_source_prior,0.0,0.0,0.0,,,,,1000.0,4500.0
A02,2,School,8.0,False,eo_safe_sweep,1708.0778421608236,2050.5086960131835,342.43085385235986,7219,4540.0,4780.4602288901015,0.0,4700.0,4800.0
A03,3,Bridge,8.0,False,eo_safe_sweep,1858.0664820648922,2200.4973359172564,342.4308538523642,7746,3050.0,5334.716487312142,3.141592653589793,2900.0,5200.0
A04,4,Residential damage,7.0,False,eo_safe_sweep,1118.1119224486113,1305.7035864201046,187.5916639714933,4596,1590.0,3117.6914536239797,3.141592653589793,1500.0,3300.0
A05,5,Main-road junction,7.0,True,multi_source_prior,0.0,0.0,0.0,,,,,4300.0,3200.0
A06,6,Apartment block,6.0,False,eo_safe_sweep,874.1232825445411,1061.7149465160344,187.5916639714933,3740,2710.0,2563.4351952019388,0.0,2800.0,2800.0
A07,7,Emergency shelter,9.0,False,eo_safe_sweep,746.1346426404763,389.34290127242497,-356.7917413680513,1368,929.9999999999993,1999.9999999999995,3.1415926535897944,800.0,2000.0
A08,8,Industrial block,6.0,False,eo_safe_sweep,624.4203569261906,746.8265584979538,122.40620157176318,2630,5190.0,2009.1789367798979,3.141592653589793,5100.0,2100.0
A09,9,Bridge,8.0,False,eo_safe_sweep,497.8602884506971,620.2664900224603,122.40620157176318,2185,3220.0,1454.922678357857,0.0,3400.0,1400.0
A10,10,Residential damage,5.0,False,eo_safe_sweep,454.4317170221257,579.6179452055995,125.18622818347382,2042,1797.300970735434,1454.937248300365,6.272388980384695,1800.0,1200.0
A11,11,School,8.0,False,eo_safe_sweep,257.0145056894893,257.0145056894893,0.0,902,4370.0,900.6664199358163,3.141592653589793,4200.0,900.0
A12,12,Clinic,9.0,True,multi_source_prior,0.0,0.0,0.0,,,,,2500.0,4000.0
