vehicle_type,vehicle_id,edge_id,edge_type,from_node,to_node,nfz_id,safety_margin_m,first_intersection_x,first_intersection_y
EO,EO1,EO_LANE_02,sweep_lane,EO_LANE_02_START,EO_LANE_02_END,NFZ3,100.0,1550.0,900.6664199358163
EO,EO1,EO_LANE_03,sweep_lane,EO_LANE_03_START,EO_LANE_03_END,NFZ3,100.0,800.0,1454.922678357857
EO,EO1,EO_LANE_04,sweep_lane,EO_LANE_04_START,EO_LANE_04_END,NFZ2,100.0,4650.0,2009.1789367798979
EO,EO1,EO_LANE_07,sweep_lane,EO_LANE_07_START,EO_LANE_07_END,NFZ1,100.0,2100.0,3671.9477120460206
EO,EO1,EO_LANE_08,sweep_lane,EO_LANE_08_START,EO_LANE_08_END,NFZ1,100.0,3300.0,4226.203970468061
SAR,SAR1,SAR1_TRANSFER_01,dubins_transfer,Depot,A12_ENTRY,NFZ1,100.0,2104.3386990246554,3420.807811015451
SAR,SAR1,SAR1_SCAN_A12,sar_scan_service,A12_ENTRY,A12_EXIT,NFZ1,100.0,2200.0,3439.833969432232
SAR,SAR1,SAR1_IDLE_RETURN_01,dubins_return,A12_EXIT,Depot,NFZ1,100.0,2800.0,3439.833969432232
SAR,SAR1,SAR1_IDLE_RETURN_02,dubins_return,A11_EXIT,Depot,NFZ3,100.0,1539.6693565104792,1184.2041329941044
SAR,SAR1,SAR1_TRANSFER_03,dubins_transfer,Depot,A08_ENTRY,NFZ3,100.0,804.1811156990708,753.4084386348245
SAR,SAR1,SAR1_IDLE_RETURN_03,dubins_return,A08_EXIT,Depot,NFZ3,100.0,1541.7752809718686,1013.7868403393377
SAR,SAR1,SAR1_TRANSFER_05,dubins_transfer,Depot,A02_ENTRY,NFZ3,100.0,814.5863980699955,1342.2521439466123
SAR,SAR1,SAR1_RETURN,dubins_return,A02_EXIT,Depot,NFZ1,100.0,3285.4741417400182,4056.957388880128
SAR,SAR2,SAR2_TRANSFER_02,dubins_transfer,Depot,A10_ENTRY,NFZ3,100.0,814.3686910259463,592.0919759773388
SAR,SAR2,SAR2_SCAN_A10,sar_scan_service,A10_ENTRY,A10_EXIT,NFZ3,100.0,1500.0,639.8339694322323
SAR,SAR2,SAR2_SCAN_A09,sar_scan_service,A09_ENTRY,A09_EXIT,NFZ2,100.0,3960.166030567768,1660.0
SAR,SAR2,SAR2_IDLE_RETURN_02,dubins_return,A09_EXIT,Depot,NFZ2,100.0,3960.166030567768,1700.0
SAR,SAR2,SAR2_IDLE_RETURN_02,dubins_return,A09_EXIT,Depot,NFZ3,100.0,1548.1124953099493,1468.430332990026
SAR,SAR2,SAR2_SCAN_A07,sar_scan_service,A07_ENTRY,A07_EXIT,NFZ3,100.0,800.0,1439.8339694322322
SAR,SAR2,SAR2_IDLE_RETURN_03,dubins_return,A07_EXIT,Depot,NFZ3,100.0,1100.0,1439.8339694322322
SAR,SAR2,SAR2_TRANSFER_05,dubins_transfer,Depot,A03_ENTRY,NFZ1,100.0,2102.7732865219537,4106.437280654565
SAR,SAR2,SAR2_RETURN,dubins_return,A03_EXIT,Depot,NFZ1,100.0,3295.1677410483558,4145.205473414793
SAR,SAR3,SAR3_TRANSFER_01,dubins_transfer,Depot,A05_ENTRY,NFZ2,100.0,3652.6146081664156,2225.903762459736
SAR,SAR3,SAR3_TRANSFER_01,dubins_transfer,Depot,A05_ENTRY,NFZ3,100.0,813.6501456730582,1031.466329732616
SAR,SAR3,SAR3_TRANSFER_02,dubins_transfer,Depot,A06_ENTRY,NFZ3,100.0,808.9027127164921,1253.660290913835
SAR,SAR3,SAR3_RETURN,dubins_return,A06_EXIT,Depot,NFZ3,100.0,1542.3445715630219,1419.0366619221143
