experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible
E2,time_aware,42,local,dubins,dubins,dubins,weighted_delay,16,3,1301.2245417370161,18.612002566239923,15.899100540902072,65.54178520083504,115.78740225711543,66.24992241487901,8,0.013527000000067346,0.0016908750000084183,0.007029500000498956,6,6,True,True
E2,distance_oriented,42,local,dubins,dubins,dubins,total_travel_time,16,3,4345.898898684546,56.41089068884735,42.89832105116293,129.98005736628576,70.28662712185788,66.24992241487901,8,0.08890360000077635,0.011112950000097044,0.01786699999956909,0,12,True,True
E3,euclidean_planned,42,local,euclidean,euclidean,dubins,weighted_delay,16,3,1367.121890211935,19.351773679610172,15.721280874947537,67.55866339168773,151.01377887750246,66.24992241487901,8,0.0027701999997589155,0.00034627499996986444,0.0008588000000600005,1,2,True,True
E3,dubins_aware,42,local,dubins,dubins,dubins,weighted_delay,16,3,1301.2245417370161,18.612002566239923,15.899100540902072,65.54178520083504,115.78740225711543,66.24992241487901,8,0.013432699998702446,0.0016790874998378058,0.00692819999949279,6,6,True,True
E4,no_reorder,42,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1371.550572303214,19.0637631076385,17.18704276261469,66.1088953555556,136.87446204391938,66.24992241487901,8,0.002166300000681076,0.0002707875000851345,0.0006577000003744615,0,0,True,True
E4,full,42,full,dubins,dubins,dubins,weighted_delay,16,3,1358.1163437170833,18.959861661938213,16.55972447334588,67.19089319419932,131.80287863220641,66.24992241487901,8,0.022829300000012154,0.0028536625000015192,0.009932200000548619,5,6,True,True
E4,local,42,local,dubins,dubins,dubins,weighted_delay,16,3,1301.2245417370161,18.612002566239923,15.899100540902072,65.54178520083504,115.78740225711543,66.24992241487901,8,0.013488900000993453,0.0016861125001241817,0.007042799999908311,6,6,True,True
E2,time_aware,43,local,dubins,dubins,dubins,weighted_delay,16,3,1215.6004363486754,16.43007166910009,15.239444512308001,71.21676296742636,157.1136347964681,55.80188948560977,8,0.0025681999995867955,0.00032102499994834943,0.0006403999996109633,1,0,True,True
E2,distance_oriented,43,local,dubins,dubins,dubins,total_travel_time,16,3,2901.4757063884745,40.1103589227311,34.373648422523736,114.10729418536627,64.94136536497967,55.80188948560977,8,0.034435300000041025,0.004304412500005128,0.008118100000501727,0,6,True,True
E3,euclidean_planned,43,local,euclidean,euclidean,dubins,weighted_delay,16,3,1108.7560383117006,15.86301057188973,13.88861101259258,69.78136976255159,156.5524837596982,55.80188948560977,8,0.0009408000005350914,0.00011760000006688642,0.0002393000004303758,1,0,True,True
E3,dubins_aware,43,local,dubins,dubins,dubins,weighted_delay,16,3,1215.6004363486754,16.43007166910009,15.239444512308001,71.21676296742636,157.1136347964681,55.80188948560977,8,0.0025175999990096898,0.0003146999998762112,0.0006462999999712338,1,0,True,True
E4,no_reorder,43,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1216.6264276942934,16.455854357566317,15.239444512308001,70.59266225120581,157.5261578119277,55.80188948560977,8,0.001064200001565041,0.00013302500019563013,0.00024670000038895523,0,0,True,True
E4,full,43,full,dubins,dubins,dubins,weighted_delay,16,3,1215.6004363486754,16.43007166910009,15.239444512308001,71.21676296742636,157.1136347964681,55.80188948560977,8,0.004122100000131468,0.0005152625000164335,0.0016746000001148786,1,0,True,True
E4,local,43,local,dubins,dubins,dubins,weighted_delay,16,3,1215.6004363486754,16.43007166910009,15.239444512308001,71.21676296742636,157.1136347964681,55.80188948560977,8,0.0026992999992216937,0.0003374124999027117,0.0007810999995854218,1,0,True,True
E2,time_aware,44,local,dubins,dubins,dubins,weighted_delay,16,3,1410.8582028990302,17.99726279815805,11.09222520453155,59.404648071979324,117.09139571043369,71.40791265561406,8,0.007713099999818951,0.0009641374999773689,0.0023550000005343463,1,1,True,True
E2,distance_oriented,44,local,dubins,dubins,dubins,total_travel_time,16,3,4243.364617257229,55.77807459422643,46.1314351307626,129.63312609106475,62.14698532767697,71.40791265561406,8,0.06858060000013211,0.008572575000016514,0.010745600000518607,0,0,True,True
E3,euclidean_planned,44,local,euclidean,euclidean,dubins,weighted_delay,16,3,1521.6322634832072,18.877128857281978,11.129047655367936,62.97249804109153,135.4637094100157,71.40791265561406,8,0.0039961999991646735,0.0004995249998955842,0.0015966999999363907,4,6,True,True
E3,dubins_aware,44,local,dubins,dubins,dubins,weighted_delay,16,3,1410.8582028990302,17.99726279815805,11.09222520453155,59.404648071979324,117.09139571043369,71.40791265561406,8,0.007629700001416495,0.0009537125001770619,0.0022797999999966123,1,1,True,True
E4,no_reorder,44,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1467.4183364209787,18.586430855678348,11.720671132553202,59.803050510915725,127.69627377561235,71.40791265561406,8,0.0023024999991321238,0.00028781249989151547,0.0005684999996447004,0,0,True,True
E4,full,44,full,dubins,dubins,dubins,weighted_delay,16,3,1380.1580379294114,18.432147166666546,10.3620266893496,59.30566530503049,124.7485103714485,71.40791265561406,8,0.024278200000480865,0.003034775000060108,0.008805600000414415,8,7,True,True
E4,local,44,local,dubins,dubins,dubins,weighted_delay,16,3,1410.8582028990302,17.99726279815805,11.09222520453155,59.404648071979324,117.09139571043369,71.40791265561406,8,0.007638499999302439,0.0009548124999128049,0.002380299999458657,1,1,True,True
