experiment,variant,turning_radius,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E3,dubins_aware,5.0,1000,local,dubins,dubins,dubins,weighted_delay,20,3,1811.2552630369514,16.92761928071917,21.546768389143317,14.303915830060982,71.09391958237964,146.68258423736154,81.19017107011354,10,0.05852309999863792,0.017489200001364225,0.0017489200001364225,0.003775099999984377,0.07601230000000214,5,5,True,True,0.07834419999926467,e507564167c2e439378597761342b1dbc8f0556229e5aa9543b4e7e180821781
E3,euclidean_planned,5.0,1000,local,euclidean,euclidean,dubins,weighted_delay,20,3,1781.3160285686045,16.647813351108454,21.780027728573117,13.44623315505942,67.67634489573318,136.1680334354984,81.19017107011354,10,0.01708169999983511,0.008286000002044602,0.0008286000002044602,0.0022176999991643243,0.02536770000187971,7,4,True,True,0.027789599998868653,e507564167c2e439378597761342b1dbc8f0556229e5aa9543b4e7e180821781
E3,dubins_aware,5.0,1001,local,dubins,dubins,dubins,weighted_delay,20,3,1799.2054369898538,14.747585549097161,18.053977676528895,12.701135842700944,64.44222670575822,127.8893605031803,78.5731594633367,10,0.038511900000230526,0.044981700002608704,0.0044981700002608704,0.021324600000298233,0.08349360000283923,6,14,True,True,0.08598189999975148,1e3095c002f6749ad34e1318f0e5fd5394d185ce1bf0d6a050b28d566c10c10e
E3,euclidean_planned,5.0,1001,local,euclidean,euclidean,dubins,weighted_delay,20,3,1932.7967420027778,15.842596245924408,18.582858254798687,14.218723883092617,66.01792661034385,136.34541913979854,78.5731594633367,10,0.017907100000229548,0.009596800004146644,0.0009596800004146644,0.002500599999621045,0.02750390000437619,5,12,True,True,0.02974970000104804,1e3095c002f6749ad34e1318f0e5fd5394d185ce1bf0d6a050b28d566c10c10e
E3,dubins_aware,5.0,1002,local,dubins,dubins,dubins,weighted_delay,20,3,1656.927299207091,16.086672807835836,16.28709141163777,14.415028423517045,68.99784982494529,122.2806500861573,76.90693803051695,10,0.05186169999979029,0.008462400001008064,0.0008462400001008064,0.0024493000000802567,0.06032410000079835,4,2,True,True,0.062416599999778555,5017f22cf70a69f781da68f248f0b8d95777ca3e922a0e8b38813ce4fa8b29ee
E3,euclidean_planned,5.0,1002,local,euclidean,euclidean,dubins,weighted_delay,20,3,1732.0225436748024,16.815752851211673,17.130833010563794,16.692563457635586,67.86946984702747,134.00774161458597,76.90693803051695,10,0.012335299999904237,0.003161999997246312,0.0003161999997246312,0.000749099999666214,0.015497299997150549,4,1,True,True,0.01732090000041353,5017f22cf70a69f781da68f248f0b8d95777ca3e922a0e8b38813ce4fa8b29ee
E3,dubins_aware,5.0,1003,local,dubins,dubins,dubins,weighted_delay,20,3,1886.0734990952963,15.210270153994324,16.800625539091083,14.02392401287061,74.24928470027497,153.62043019851933,79.94105783304978,10,0.04597040000044217,0.008355200001460616,0.0008355200001460616,0.00339209999947343,0.054325600001902785,2,2,True,True,0.05600779999986116,b72b1ee67b5d7fdfe25a53c71414e4f99e366be533e138f7a3c65553e533f550
E3,euclidean_planned,5.0,1003,local,euclidean,euclidean,dubins,weighted_delay,20,3,1780.0953185110322,14.355607407347033,16.55122351159102,12.039558966448679,68.09536527144886,139.43606950144618,79.94105783304978,10,0.024408699999185046,0.0024973999952635495,0.00024973999952635493,0.001098200000342331,0.026906099994448596,0,0,True,True,0.0285862000000634,b72b1ee67b5d7fdfe25a53c71414e4f99e366be533e138f7a3c65553e533f550
E3,dubins_aware,5.0,1004,local,dubins,dubins,dubins,weighted_delay,20,3,1734.9130469254317,17.349130469254316,18.90931201576692,14.78715980510143,77.57138712463068,179.82604309759898,84.36853573586968,10,0.07411040000079083,0.011036600000807084,0.0011036600000807085,0.0046637999985250644,0.08514700000159792,2,2,True,True,0.08689509999931033,c1cfdd8b535d1c868fbd1c3c2aff246c4e52d593ba9f96aebe8a8b05ee49340c
E3,euclidean_planned,5.0,1004,local,euclidean,euclidean,dubins,weighted_delay,20,3,1662.2713972389186,16.622713972389185,18.964967908357938,14.077330871356905,77.57138712463068,169.34730343474794,84.36853573586968,10,0.013789099999485188,0.003936899996915599,0.0003936899996915599,0.0011742999995476566,0.017725999996400787,1,0,True,True,0.0203404000003502,c1cfdd8b535d1c868fbd1c3c2aff246c4e52d593ba9f96aebe8a8b05ee49340c
