scale,seed,comparison,scenario_fingerprint,local_weighted_delay,full_weighted_delay,difference_local_minus_full_weighted_delay,local_weighted_mean_delay,full_weighted_mean_delay,difference_local_minus_full_weighted_mean_delay,local_high_priority_mean_delay,full_high_priority_mean_delay,difference_local_minus_full_high_priority_mean_delay,local_mean_delay,full_mean_delay,difference_local_minus_full_mean_delay,local_makespan,full_makespan,difference_local_minus_full_makespan,local_total_replanning_runtime,full_total_replanning_runtime,difference_local_minus_full_total_replanning_runtime,local_total_algorithm_runtime,full_total_algorithm_runtime,difference_local_minus_full_total_algorithm_runtime,local_assignment_changes,full_assignment_changes,difference_local_minus_full_assignment_changes,local_successor_edge_changes,full_successor_edge_changes,difference_local_minus_full_successor_edge_changes,quality_gap_local_vs_full_percent,runtime_ratio_local_vs_full,assignment_reduction_percent,successor_reduction_percent
small,2000,local_vs_full,f04e9c0f2ed64012c470bc2c12691ffcf9bb3b75ef72e1720e000f6c492c2e4a,2060.308162898701,2060.308162898701,0.0,16.48246530318961,16.48246530318961,0.0,14.169970825355705,14.169970825355705,0.0,17.94044567918805,17.94044567918805,0.0,126.51576313800396,126.51576313800396,0.0,0.0022235000069485,0.0025931999916792,-0.0003696999847307,0.0607720000043627,0.0602019999860203,0.0005700000183423981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8574348349849775,,
small,2001,local_vs_full,d993dae26b7864c5b7b6a2c7c65fb5773af1f9860a0450510b89fe3d9003d719,2125.5761577712465,2136.4516839078155,-10.875526136569079,18.483270937141278,18.577840729633177,-0.09456979249189956,15.759631624251302,16.002775905195048,-0.24314428094374563,23.021930626769358,22.31591405128608,0.7060165754832788,111.52183650455363,113.85578656390476,-2.3339500593511247,0.0218892000048072,0.0546384000117541,-0.0327492000069469,0.0772518000085256,0.1106686000130139,-0.033416800004488295,6.0,11.0,-5.0,7.0,12.0,-5.0,-0.5090462011607894,0.40061934463853777,45.45454545454545,41.66666666666667
small,2002,local_vs_full,2e2b45a1a06711b6c6f5dd691b3713f1164c6d55479925ffaaa8d71506f81a6e,1953.2464068480767,1943.49452999289,9.751876855186765,20.136560895341,20.036026082400927,0.10053481294007227,17.40578296150036,17.40578296150036,0.0,21.98061769693096,21.7471009011314,0.23351679579955942,116.7901999760814,116.7901999760814,0.0,0.0211739000078523,0.042020599998068,-0.0208466999902157,0.0982443000102648,0.1128415999919525,-0.014597299981687697,4.0,7.0,-3.0,5.0,5.0,0.0,0.501770223928682,0.5038933287203377,42.857142857142854,0.0
small,2003,local_vs_full,f523568bb6d6858f3383d7500cd02fcf34be1bab2e547c348580b3ceaa39a850,1709.8669509537124,1709.8669509537124,0.0,15.832101397719558,15.832101397719558,0.0,12.759682217431555,12.759682217431555,0.0,17.661337891467547,17.661337891467547,0.0,127.83079366024792,127.83079366024792,0.0,0.0037426000126288,0.0047817999948165,-0.0010391999821876999,0.0619093000132124,0.0585313999908976,0.003377900022314799,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7826759832460164,0.0,
small,2004,local_vs_full,54b23c70871ad35ad36e43ab8385a4969f460d0fa859877d83857542883244fc,1655.440482111626,1655.7867803748918,-0.34629826326590774,17.425689285385534,17.429334530262018,-0.0036452448764840994,16.22377105563132,16.22377105563132,0.0,19.046073845468296,18.99320581160936,0.05286803385893535,127.42167838726373,127.42167838726373,0.0,0.004329499999585,0.0067993999909958,-0.0024698999914108,0.0470327000002726,0.0674555999867152,-0.020422899986442603,2.0,2.0,0.0,1.0,0.0,1.0,-0.0209144237271651,0.6367473608433686,0.0,
small,2005,local_vs_full,ccf215d8148903bd42877a5895cc694b392ac522e1be25f8008d27d8f7690b39,1885.7194995400248,1889.175661856228,-3.45616231620329,17.460365736481712,17.492367239409514,-0.032001502927801795,14.700975586513696,15.000759953021044,-0.29978436650734785,22.431449103116307,21.54696754134544,0.884481561770869,117.08447509358837,116.9261064355397,0.15836865804867273,0.0235422999976435,0.0412447999915457,-0.017702499993902197,0.0868624999930034,0.1025062999906367,-0.01564379999763331,6.0,5.0,1.0,6.0,8.0,-2.0,-0.18294552412382387,0.5707943789876341,-20.0,25.0
small,2006,local_vs_full,34a01d79689ecc854efe4cb16ff509810157698e70c94bb11e4b9788a2d4b171,2085.285743975149,2085.285743975149,0.0,18.78635805383017,18.78635805383017,0.0,17.592863577332757,17.592863577332757,0.0,21.820087914084997,21.820087914084997,0.0,110.9760497363861,110.9760497363861,0.0,0.0071670000033918,0.0150491999884252,-0.007882199985033402,0.0866010000027017,0.0941573999880347,-0.007556399985333001,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.4762379401499188,0.0,
small,2007,local_vs_full,6736fbfe6c499921993f3e6f73e4f70f7b0fb904e08ce6daded872ef6591fe29,1392.973073249051,1422.6757947094893,-29.702721460438397,18.090559392844817,18.47630902220116,-0.3857496293563436,16.289053661655156,16.48803813165468,-0.19898446999952313,21.248286532505237,21.71731823990013,-0.46903170739489397,109.2626968324549,105.62416683234164,3.6385300001132634,0.0077297000025282,0.0081528000009711,-0.0004230999984429001,0.0560524000029545,0.0548449999987497,0.0012074000042048005,2.0,4.0,-2.0,2.0,0.0,2.0,-2.087806763205932,0.9481037191648877,50.0,
small,2008,local_vs_full,359ef88a4d1c0702f6121b7816a43ca9583b0cf8c86e8f83cb2fad5a1bf1df85,1898.3575193820127,1866.7125423683008,31.644977013711923,17.741659059644977,17.4459116109187,0.2957474487262779,15.13623458448711,15.34088298354463,-0.20464839905752008,19.688593765869296,19.270305993436192,0.41828777243310356,129.3572462098148,129.3572462098148,0.0,0.0107263999889255,0.0335526000053505,-0.022826200016424998,0.110440499985998,0.1448300000047311,-0.03438950001873309,4.0,6.0,-2.0,2.0,8.0,-6.0,1.6952249634302938,0.31968908481652697,33.33333333333333,75.0
small,2009,local_vs_full,2e41abe11e30219639ebd1824716dd43aff5143c57c53aa1d6c4c3b25a5d53f6,1966.9162483707723,1964.110596042832,2.805652327940379,16.52870796950229,16.50513105918346,0.023576910318830357,13.939166023506612,13.939166023506612,0.0,17.561607005966387,17.821075028278635,-0.2594680223122481,120.94523925669218,120.94523925669218,0.0,0.0046664999899803,0.0151136999920709,-0.0104472000020906,0.0677208999914,0.0792472999892197,-0.011526399997819695,0.0,1.0,-1.0,0.0,0.0,0.0,0.14284594429628691,0.30875960171423844,100.0,
medium,2000,local_vs_full,78fddf90b7b6a42ec52d011cd5043823c179f5f2bc79d835eb85d30829b86ee4,5317.563167257456,5322.249549098696,-4.686381841239381,18.991297025919486,19.008034103923915,-0.016737078004428696,16.017545638929167,16.005249277557986,0.012296361371181064,22.549920515106123,22.19733224041172,0.3525882746944049,128.14570761635667,124.03358441301478,4.112123203341895,0.1577779000072041,1.25746500002424,-1.0996871000170358,0.897768900009396,2.091015000019979,-1.1932461000105832,5.0,55.0,-50.0,10.0,80.0,-70.0,-0.08805265138373033,0.12547299527554456,90.9090909090909,87.5
medium,2001,local_vs_full,fe0828697d954d1952c7b0ba2e4f485747ad0bb58c6121455a721dc2467487e2,5957.092892810645,5757.112343079925,199.98054973071976,21.428391700757714,20.709037205323472,0.7193544954342421,19.64200882437528,18.91317942826285,0.728829396112431,24.76510341797691,24.42826224158712,0.3368411763897896,120.82095298724052,118.26119576566671,2.559757221573804,0.1329809000017121,0.9136886000269442,-0.780707700025232,0.993956700003764,1.7043319000222257,-0.7103752000184617,16.0,45.0,-29.0,13.0,51.0,-38.0,3.47362597450607,0.14554291253911952,64.44444444444444,74.50980392156863
medium,2002,local_vs_full,2cb354e65bb1735d000802aff7cac32c0289f8ec8fd8d36dc1914901dde00ff7,5821.529511517134,5785.688138439393,35.84137307774108,20.791176826846907,20.663171922997837,0.12800490384907093,16.830662697106018,15.842471929683496,0.9881907674225214,28.17638450771523,29.183962770710032,-1.0075782629948016,120.94684186252717,123.32170146660816,-2.3748596040809957,0.3332780000055209,2.613785599984112,-2.2805075999785913,1.073578000003181,3.4056730999873253,-2.3320950999841443,15.0,79.0,-64.0,32.0,128.0,-96.0,0.6194833219511819,0.12750778028907447,81.0126582278481,75.0
medium,2003,local_vs_full,9f80443e01aeef821a4c386e5acf97363b314efee4ff9732ebe2f062bd6cca51,6061.642864561777,5900.989658569855,160.65320599192182,20.83038785072776,20.27831497790328,0.5520728728244819,19.511753055269573,18.576549942436444,0.9352031128331291,26.67335834821229,25.966940487606934,0.7064178606053559,126.38297149600166,128.83665101574118,-2.4536795197395236,0.2037627999816322,1.6681951999853482,-1.4644324000037159,0.9818865999841364,2.4245375999817043,-1.4426509999975679,20.0,58.0,-38.0,30.0,81.0,-51.0,2.7224790295745014,0.12214565776440421,65.51724137931035,62.96296296296296
medium,2004,local_vs_full,1757208cf575b36a146991fcda820f0f9bfaba0796dc54d07ad909f6a2520902,5423.852811080794,5403.16919877447,20.683612306323994,20.01421701505828,19.93789372241502,0.07632329264325932,16.80688151928022,17.026335540430242,-0.2194540211500211,26.23189559848977,25.60270486960888,0.6291907288808929,115.10088635082714,116.4805830445484,-1.3796966937212574,0.1415543999974033,1.2242936999900849,-1.0827392999926815,0.9059712999951444,1.982321999988926,-1.0763506999937817,19.0,47.0,-28.0,27.0,53.0,-26.0,0.38280519349671055,0.11562127616808753,59.57446808510638,49.056603773584904
medium,2005,local_vs_full,b1ff7a5e3e50214d0b60d1e5e08bd83dfbe53cf101a6025d58668082d9f0addd,5317.37239580278,5325.95118411294,-8.578788310159325,20.218145991645557,20.25076495860433,-0.03261896695877198,17.35163160552346,16.7274092035654,0.6242224019580576,25.733872341020543,26.965943597825493,-1.23207125680495,120.4165550081912,119.69684727523602,0.7197077329551718,0.1591043000153149,1.4388849000170012,-1.2797806000016863,0.8952829000190832,2.177877500012982,-1.282594599993899,15.0,64.0,-49.0,21.0,74.0,-53.0,-0.1610752335798186,0.110574723533088,76.5625,71.62162162162163
medium,2006,local_vs_full,79edf26bd755e7b0ca72c35889071b4a6110564f2874d9480e09d5e9c145ceb3,5114.87893230226,5063.279491921068,51.599440381191926,19.22886816654985,19.03488530797394,0.1939828585759109,16.89320402188318,16.507596308130708,0.3856077137524707,24.3644362752767,24.193303051232384,0.17113322404431486,129.35076698855204,127.63566792127293,1.7150990672791124,0.1834174000105122,1.211933900012809,-1.0285165000022969,0.9761489000156872,1.9947325000102865,-1.0185835999945994,14.0,54.0,-40.0,13.0,67.0,-54.0,1.019091291790706,0.15134274237941,74.07407407407408,80.59701492537313
medium,2007,local_vs_full,889f69685877a4deb32387485dd90724ed5ad68c2207ade0e7786b5e5cf16524,5571.479915088231,5508.767348304769,62.712566783461625,20.2599269639572,20.0318812665628,0.22804569739439984,16.124750086912986,15.399963405627878,0.7247866812851083,24.94321505561845,24.8214951505928,0.12171990502564967,117.90898186748134,118.41862646169204,-0.5096445942106982,0.1508349000141606,1.1173674000092433,-0.9665324999950826,0.9453054000186968,1.93231980001292,-0.9870143999942232,16.0,49.0,-33.0,15.0,49.0,-34.0,1.1384137833077792,0.13499131978694998,67.3469387755102,69.38775510204081
medium,2008,local_vs_full,e731c197d7bbaac9d6ba09c757ab693dcf692adad87e97e8d7d7e66e6a3dad33,5396.025791897804,5067.871726466907,328.1540654308974,21.412800761499224,20.11060208915439,1.3021986723448329,16.822219963114943,15.726442282647808,1.095777680467135,28.0160542835397,25.99560701887325,2.0204472646664478,129.04268579104664,130.7368556448636,-1.694169853816959,0.1979763000126695,1.9414256000090973,-1.7434492999964277,1.0009184000155074,2.7267887000052724,-1.725870299989765,16.0,50.0,-34.0,25.0,76.0,-51.0,6.475184912773478,0.1019747035434898,68.0,67.10526315789474
medium,2009,local_vs_full,4fe2e03f587c3c24d53a81c67b90ea42fadfb6aa861f808a7432fd94bed68b88,6614.5688743740775,6398.4947071435845,216.074167230493,23.70813216621533,22.933672785460875,0.774459380754454,15.967304042236702,16.391111735274208,-0.42380769303750654,28.74251114630122,27.76621743124879,0.976293715052428,122.294534845878,121.32829347281042,0.9662413730675894,0.5694966999944882,4.581576800002949,-4.012080100008461,1.3753512999901432,5.383996300006402,-4.008645000016259,28.0,95.0,-67.0,53.0,178.0,-125.0,3.3769531291360946,0.12430146319802421,70.52631578947368,70.2247191011236
