scale,seed,comparison,scenario_fingerprint,local_weighted_delay,no_reorder_weighted_delay,difference_local_minus_no_reorder_weighted_delay,local_weighted_mean_delay,no_reorder_weighted_mean_delay,difference_local_minus_no_reorder_weighted_mean_delay,local_high_priority_mean_delay,no_reorder_high_priority_mean_delay,difference_local_minus_no_reorder_high_priority_mean_delay,local_mean_delay,no_reorder_mean_delay,difference_local_minus_no_reorder_mean_delay,local_makespan,no_reorder_makespan,difference_local_minus_no_reorder_makespan,local_total_replanning_runtime,no_reorder_total_replanning_runtime,difference_local_minus_no_reorder_total_replanning_runtime,local_total_algorithm_runtime,no_reorder_total_algorithm_runtime,difference_local_minus_no_reorder_total_algorithm_runtime,local_assignment_changes,no_reorder_assignment_changes,difference_local_minus_no_reorder_assignment_changes,local_successor_edge_changes,no_reorder_successor_edge_changes,difference_local_minus_no_reorder_successor_edge_changes,local_improvement_weighted_mean_delay_percent,local_improvement_high_priority_mean_delay_percent
small,2000,local_vs_no_reorder,f04e9c0f2ed64012c470bc2c12691ffcf9bb3b75ef72e1720e000f6c492c2e4a,2060.308162898701,2060.308162898701,0.0,16.48246530318961,16.48246530318961,0.0,14.169970825355705,14.169970825355705,0.0,17.94044567918805,17.94044567918805,0.0,126.51576313800396,126.51576313800396,0.0,0.0022235000069485,0.0009847000037552,0.0012388000031933002,0.0607720000043627,0.059688700006518,0.0010832999978446986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small,2001,local_vs_no_reorder,d993dae26b7864c5b7b6a2c7c65fb5773af1f9860a0450510b89fe3d9003d719,2125.5761577712465,2185.855589368947,-60.27943159770075,18.483270937141278,19.007439907556066,-0.524168970414788,15.759631624251302,16.515807573781377,-0.7561759495300748,23.021930626769358,23.526758139535968,-0.5048275127666102,111.52183650455363,113.04848440806836,-1.5266479035147285,0.0218892000048072,0.0039069000122253,0.0179822999925819,0.0772518000085256,0.0586171000104513,0.01863469999807431,6.0,0.0,6.0,7.0,0.0,7.0,2.7577042093207624,4.5784981821324555
small,2002,local_vs_no_reorder,2e2b45a1a06711b6c6f5dd691b3713f1164c6d55479925ffaaa8d71506f81a6e,1953.2464068480767,1967.678356058697,-14.43194921062036,20.136560895341,20.285343876893783,-0.14878298155278458,17.40578296150036,18.58166065674352,-1.1758776952431589,21.98061769693096,22.184342175812027,-0.20372447888106748,116.7901999760814,116.7901999760814,0.0,0.0211739000078523,0.0033765000043786,0.017797400003473702,0.0982443000102648,0.0755802000057883,0.022664100004476495,4.0,0.0,4.0,5.0,0.0,5.0,0.7334506255142031,6.328162573652523
small,2003,local_vs_no_reorder,f523568bb6d6858f3383d7500cd02fcf34be1bab2e547c348580b3ceaa39a850,1709.8669509537124,1766.8154307746338,-56.94847982092142,15.832101397719558,16.359402136802164,-0.5273007390826052,12.759682217431555,13.02966622671967,-0.2699840092881143,17.661337891467547,18.926864747845872,-1.265526856378326,127.83079366024792,127.83079366024792,0.0,0.0037426000126288,0.0014859000002616,0.0022567000123671997,0.0619093000132124,0.0564910000030067,0.005418300010205698,1.0,0.0,1.0,0.0,0.0,0.0,3.223227442379375,2.0720715679919994
small,2004,local_vs_no_reorder,54b23c70871ad35ad36e43ab8385a4969f460d0fa859877d83857542883244fc,1655.440482111626,1655.440482111626,0.0,17.425689285385534,17.425689285385534,0.0,16.22377105563132,16.22377105563132,0.0,19.046073845468296,19.046073845468296,0.0,127.42167838726373,127.42167838726373,0.0,0.004329499999585,0.0032242000015685,0.0011052999980165003,0.0470327000002726,0.0727383000048575,-0.025705600004584897,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
small,2005,local_vs_no_reorder,ccf215d8148903bd42877a5895cc694b392ac522e1be25f8008d27d8f7690b39,1885.7194995400248,1933.2735604159184,-47.55406087589358,17.460365736481712,17.900681114962207,-0.44031537848049496,14.700975586513696,15.137485261550024,-0.4365096750363282,22.431449103116307,22.339631966364426,0.09181713675188163,117.08447509358837,116.9261064355397,0.15836865804867273,0.0235422999976435,0.0031788999986019,0.0203633999990416,0.0868624999930034,0.065261299998383,0.0216011999946204,6.0,0.0,6.0,6.0,0.0,6.0,2.459768852663708,2.8836340217293874
small,2006,local_vs_no_reorder,34a01d79689ecc854efe4cb16ff509810157698e70c94bb11e4b9788a2d4b171,2085.285743975149,2086.9846986990988,-1.698954723949555,18.78635805383017,18.80166395224413,-0.015305898413959795,17.592863577332757,17.592863577332757,0.0,21.820087914084997,21.905035650282468,-0.08494773619747065,110.9760497363861,112.6750044603356,-1.6989547239494982,0.0071670000033918,0.0027600999892456,0.0044069000141462,0.0866010000027017,0.0644336999903316,0.022167300012370092,3.0,0.0,3.0,1.0,0.0,1.0,0.08140714807389648,0.0
small,2007,local_vs_no_reorder,6736fbfe6c499921993f3e6f73e4f70f7b0fb904e08ce6daded872ef6591fe29,1392.973073249051,1331.4112296239928,61.561843625058145,18.090559392844817,17.291054930181723,0.7995044626630943,16.289053661655156,14.974508239872836,1.31454542178232,21.248286532505237,20.758648815584024,0.4896377169212123,109.2626968324549,106.6614123115884,2.6012845208665,0.0077297000025282,0.0015659000055165,0.0061637999970117,0.0560524000029545,0.0461033000028692,0.009949100000085302,2.0,0.0,2.0,2.0,0.0,2.0,-4.623803844770342,-8.778554866209639
small,2008,local_vs_no_reorder,359ef88a4d1c0702f6121b7816a43ca9583b0cf8c86e8f83cb2fad5a1bf1df85,1898.3575193820127,2000.1963330268543,-101.8388136448416,17.741659059644977,18.69342367314817,-0.9517646135031939,15.13623458448711,17.1965391147203,-2.0603045302331893,19.688593765869296,20.49065442115988,-0.8020606552905853,129.3572462098148,129.3572462098148,0.0,0.0107263999889255,0.0031856999921728,0.0075406999967527,0.110440499985998,0.1040062999891233,0.006434199996874709,4.0,0.0,4.0,2.0,0.0,2.0,5.09144087324324,11.980925443710714
small,2009,local_vs_no_reorder,2e41abe11e30219639ebd1824716dd43aff5143c57c53aa1d6c4c3b25a5d53f6,1966.9162483707723,1966.9162483707723,0.0,16.52870796950229,16.52870796950229,0.0,13.939166023506612,13.939166023506612,0.0,17.561607005966387,17.561607005966387,0.0,120.94523925669218,120.94523925669218,0.0,0.0046664999899803,0.0022447000010288,0.0024217999889515,0.0677208999914,0.0662229000008665,0.0014979999905335023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,2000,local_vs_no_reorder,78fddf90b7b6a42ec52d011cd5043823c179f5f2bc79d835eb85d30829b86ee4,5317.563167257456,5506.494920091209,-188.9317528337524,18.991297025919486,19.666053286040032,-0.6747562601205459,16.017545638929167,15.858183176674965,0.1593624622542027,22.549920515106123,23.46814161043892,-0.9182210953327967,128.14570761635667,124.50107872232694,3.6446288940297364,0.1577779000072041,0.0321231999987503,0.1256547000084538,0.897768900009396,0.836303099997167,0.06146580001222901,5.0,0.0,5.0,10.0,0.0,10.0,3.4310710456557256,-1.0049225720169588
medium,2001,local_vs_no_reorder,fe0828697d954d1952c7b0ba2e4f485747ad0bb58c6121455a721dc2467487e2,5957.092892810645,6058.704701300088,-101.61180848944332,21.428391700757714,21.793901803237727,-0.3655101024800125,19.64200882437528,20.168861952961628,-0.526853128586346,24.76510341797691,25.510485467370348,-0.745382049393438,120.82095298724052,120.275339138149,0.5456138490915237,0.1329809000017121,0.0308897999857435,0.10209110001596859,0.993956700003764,0.851037999986147,0.14291870001761697,16.0,0.0,16.0,13.0,0.0,13.0,1.6771209936612261,2.6122104946480733
medium,2002,local_vs_no_reorder,2cb354e65bb1735d000802aff7cac32c0289f8ec8fd8d36dc1914901dde00ff7,5821.529511517134,5982.465298006849,-160.9357864897147,20.791176826846907,21.3659474928816,-0.5747706660346914,16.830662697106018,17.032360932727077,-0.20169823562105904,28.17638450771523,29.71211107470468,-1.5357265669894495,120.94684186252717,124.83768814971154,-3.890846287184374,0.3332780000055209,0.048546999998507,0.2847310000070139,1.073578000003181,0.852982600001269,0.2205954000019119,15.0,0.0,15.0,32.0,0.0,32.0,2.6901248644656888,1.1842059736621895
medium,2003,local_vs_no_reorder,9f80443e01aeef821a4c386e5acf97363b314efee4ff9732ebe2f062bd6cca51,6061.642864561777,6191.006226664773,-129.36336210299578,20.83038785072776,21.274935486820524,-0.44454763609276426,19.511753055269573,19.769267942424214,-0.25751488715464177,26.67335834821229,26.434341302454804,0.2390170457574854,126.38297149600166,125.8945805993926,0.48839089660906154,0.2037627999816322,0.040417600008368,0.1633451999732642,0.9818865999841364,0.821507600005134,0.1603789999790024,20.0,0.0,20.0,30.0,0.0,30.0,2.089536940632108,1.3026020381969892
medium,2004,local_vs_no_reorder,1757208cf575b36a146991fcda820f0f9bfaba0796dc54d07ad909f6a2520902,5423.852811080794,5568.725513604777,-144.8727025239832,20.01421701505828,20.54880263322796,-0.5345856181696824,16.80688151928022,17.20145336581347,-0.3945718465332497,26.23189559848977,27.06202877778092,-0.830133179291149,115.10088635082714,127.0302966787282,-11.929410327901067,0.1415543999974033,0.0346922999815433,0.10686210001586,0.9059712999951444,0.7888142999800039,0.11715700001514051,19.0,0.0,19.0,27.0,0.0,27.0,2.601541450912781,2.293828539612996
