comparison,h_A,h_B,metric,n,mean_A,mean_B,paired_mean_difference_A_minus_B,paired_median_difference_A_minus_B,difference_ci95_lower,difference_ci95_upper,wins_A_lower,ties,losses_A_higher,wilcoxon_p_two_sided
h1_vs_h2,1,2,weighted_mean_delay,10,20.988850790365873,20.688334446917732,0.30051634344814565,0.3589583204541853,0.07528835217149069,0.5257443347248006,2,0,8,0.048828125
h1_vs_h2,1,2,high_priority_mean_delay,10,17.351739304892234,17.19679614546315,0.1549431594290816,0.3454974704848368,-0.15537426772216706,0.46526058658033026,3,0,7,0.4921875
h1_vs_h2,1,2,mean_delay,10,26.545767193417344,26.019675148925693,0.5260920444916518,0.554672050014819,0.2139495156683195,0.8382345733149841,1,0,9,0.01953125
h1_vs_h2,1,2,makespan,10,125.45960973091846,123.04108848141023,2.4185212495082182,2.1567509839285535,-0.9181150036891017,5.755157502705538,4,0,6,0.275390625
h1_vs_h2,1,2,total_replanning_runtime,10,0.08576669999974904,0.22301836000406178,-0.13725166000431274,-0.10437240000896966,-0.20037189602196767,-0.07413142398665781,10,0,0,0.001953125
h1_vs_h2,1,2,mean_replanning_runtime,10,0.00343066799998991,0.00892073440016241,-0.005490066400172499,-0.00417489600035875,-0.008014875840878708,-0.002965256959466291,10,0,0,0.001953125
h1_vs_h2,1,2,max_replanning_runtime,10,0.012399339999819809,0.04521760999996327,-0.032818270000143465,-0.0232938999963608,-0.04485730649215255,-0.020779233508134383,10,0,0,0.001953125
h1_vs_h2,1,2,assignment_changes,10,0.0,16.4,-16.4,-16.0,-19.944897804513474,-12.855102195486525,10,0,0,0.001953125
h1_vs_h2,1,2,successor_edge_changes,10,1.8,23.9,-22.1,-20.0,-29.557450145100983,-14.64254985489902,10,0,0,0.001953125
h2_vs_h3,2,3,weighted_mean_delay,10,20.688334446917732,20.58694230720791,0.101392139709818,0.10643922475307477,-0.05957842474016117,0.2623627041597972,3,0,7,0.275390625
h2_vs_h3,2,3,high_priority_mean_delay,10,17.19679614546315,17.353363162700823,-0.15656701723766736,-0.15410174316098413,-0.3823729443762295,0.06923890990089474,7,0,3,0.275390625
h2_vs_h3,2,3,mean_delay,10,26.019675148925693,25.691038872323134,0.3286362766025629,0.5859774228698811,-0.05281845442012467,0.7100910076252505,4,0,6,0.130859375
h2_vs_h3,2,3,makespan,10,123.04108848141023,122.54640631846095,0.49468216294929446,0.4634592326136868,-0.8223243086542983,1.8116886345528873,4,0,6,0.556640625
h2_vs_h3,2,3,total_replanning_runtime,10,0.22301836000406178,0.5808292300003359,-0.35781086999627404,-0.33704744998885877,-0.45200447116888715,-0.26361726882366093,10,0,0,0.001953125
h2_vs_h3,2,3,mean_replanning_runtime,10,0.00892073440016241,0.0232331692000134,-0.01431243479985099,-0.013481897999554349,-0.018080178846755512,-0.01054469075294647,10,0,0,0.001953125
h2_vs_h3,2,3,max_replanning_runtime,10,0.04521760999996327,0.10432413000003175,-0.059106520000068496,-0.0691700000036235,-0.07103802101958667,-0.04717501898055033,10,0,0,0.001953125
h2_vs_h3,2,3,assignment_changes,10,16.4,26.5,-10.1,-10.0,-12.800883476856333,-7.399116523143666,10,0,0,0.001953125
h2_vs_h3,2,3,successor_edge_changes,10,23.9,39.2,-15.3,-13.5,-20.797713625782187,-9.802286374217815,9,1,0,0.00390625
h1_vs_h3,1,3,weighted_mean_delay,10,20.988850790365873,20.58694230720791,0.4019084831579637,0.38153501906523424,0.12491224998309836,0.678904716332829,3,0,7,0.02734375
h1_vs_h3,1,3,high_priority_mean_delay,10,17.351739304892234,17.353363162700823,-0.0016238578085857823,0.01025213922068069,-0.17135496591441787,0.1681072502972463,5,0,5,0.921875
h1_vs_h3,1,3,mean_delay,10,26.545767193417344,25.691038872323134,0.8547283210942147,0.7858298131181183,0.42857327104618415,1.2808833711422452,1,0,9,0.005859375
h1_vs_h3,1,3,makespan,10,125.45960973091846,122.54640631846095,2.913203412457513,1.6561373661152103,-0.7092263865202795,6.5356332114353055,2,0,8,0.16015625
h1_vs_h3,1,3,total_replanning_runtime,10,0.08576669999974904,0.5808292300003359,-0.49506253000058675,-0.4243341000012606,-0.6472499209156213,-0.3428751390855522,10,0,0,0.001953125
h1_vs_h3,1,3,mean_replanning_runtime,10,0.00343066799998991,0.0232331692000134,-0.019802501200023487,-0.016973364000050402,-0.025889996836624875,-0.0137150055634221,10,0,0,0.001953125
h1_vs_h3,1,3,max_replanning_runtime,10,0.012399339999819809,0.10432413000003175,-0.09192479000021195,-0.09374739999998385,-0.09572616534885496,-0.08812341465156893,10,0,0,0.001953125
h1_vs_h3,1,3,assignment_changes,10,0.0,26.5,-26.5,-25.5,-30.105192551491992,-22.894807448508008,10,0,0,0.001953125
h1_vs_h3,1,3,successor_edge_changes,10,1.8,39.2,-37.4,-35.0,-48.403188547972,-26.396811452027997,10,0,0,0.001953125
