method,method_type,h,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
NoReorder,reference,,weighted_delay,10,5764.079001897116,527.8171199777946,5617.364313729162,5180.73931443285,6900.4890535133445,5436.934561613718,6091.223442180513
NoReorder,reference,,weighted_mean_delay,10,21.058899049511897,1.4843346763992735,20.75890430010291,19.47646358809342,24.73293567567507,20.138898885583323,21.97889921344047
NoReorder,reference,,high_priority_mean_delay,10,17.37558534543364,1.4385566428102032,17.038825591843814,15.858183176674965,20.168861952961628,16.48395870068232,18.267211990184965
NoReorder,reference,,mean_delay,10,26.494417266654818,2.0198840814705097,26.235340592233165,23.46814161043892,29.71211107470468,25.24248014248989,27.746354390819747
NoReorder,reference,,makespan,10,124.40419868084749,3.547921148778994,124.68967790714882,119.91873006666664,131.34643955971845,122.20517437023823,126.60322299145675
NoReorder,reference,,initial_planning_runtime,10,0.8037112700010767,0.0462137373634329,0.8043077500005893,0.7541219999984605,0.9116319000022486,0.7750676988266513,0.8323548411755021
NoReorder,reference,,total_replanning_runtime,10,0.04077427999945933,0.013120361685525328,0.0364966999950411,0.0308897999857435,0.0745058000175049,0.03264219557577202,0.048906364423146644
NoReorder,reference,,mean_replanning_runtime,10,0.0016309711999783199,0.0005248144674209939,0.0014598679998016001,0.0012355919994297,0.0029802320007001,0.0013056878230308393,0.0019562545769258007
NoReorder,reference,,max_replanning_runtime,10,0.004564209999807599,0.0007456771285753012,0.00432250000085325,0.0037502999985008,0.0058989000026485,0.004102034527230732,0.005026385472384466
NoReorder,reference,,total_algorithm_runtime,10,0.844485550000536,0.049797956282055404,0.843670549991657,0.7888142999800039,0.945329899994249,0.8136204569246701,0.875350643076402
NoReorder,reference,,runner_wall_runtime,10,0.8521517900000617,0.05021713647127905,0.8510133999989193,0.7957244999997783,0.9526961000010488,0.8210268863511943,0.8832766936489291
NoReorder,reference,,assignment_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoReorder,reference,,successor_edge_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Local h=1,local,1.0,weighted_delay,10,5744.572205763717,512.1615901262579,5617.364313729162,5180.73931443285,6831.752080628915,5427.131163412611,6062.013248114822
Local h=1,local,1.0,weighted_mean_delay,10,20.988850790365873,1.4334828951489458,20.75890430010291,19.47646358809342,24.48656659723625,20.100368886995525,21.87733269373622
Local h=1,local,1.0,high_priority_mean_delay,10,17.351739304892234,1.261106938735424,16.83987738713716,16.348184367883803,20.168861952961628,16.570097126200746,18.133381483583722
Local h=1,local,1.0,mean_delay,10,26.545767193417344,1.9738964502867704,26.57993158471883,23.396440817644677,29.5640967310501,25.32233349836475,27.76920088846994
Local h=1,local,1.0,makespan,10,125.45960973091846,3.7035157364921725,125.03364519635258,119.91873006666664,131.34643955971845,123.16414689571057,127.75507256612634
Local h=1,local,1.0,initial_planning_runtime,10,0.8820528000000195,0.08614625950539916,0.9133931000001212,0.7157351000000745,0.9401384000002508,0.8286587951795852,0.9354468048204538
Local h=1,local,1.0,total_replanning_runtime,10,0.08576669999974904,0.034834713858660875,0.07841390000044149,0.0535881000000699,0.1773124999986066,0.06417592066276322,0.10735747933673485
Local h=1,local,1.0,mean_replanning_runtime,10,0.00343066799998991,0.0013933885543464353,0.0031365560000176504,0.0021435240000027,0.0070924999999442,0.002567036826510477,0.004294299173469343
Local h=1,local,1.0,max_replanning_runtime,10,0.012399339999819809,0.002474553814440586,0.0116662499997346,0.0090108999997937,0.0163514999999279,0.010865595655546985,0.013933084344092633
Local h=1,local,1.0,total_algorithm_runtime,10,0.9678194999997686,0.10841718148480212,0.996736199999532,0.7693232000001444,1.1174508999988575,0.9006218347261578,1.0350171652733795
Local h=1,local,1.0,runner_wall_runtime,10,0.9804730499999096,0.10977506183254893,1.0093643499997142,0.7804009000001315,1.1325223999997434,0.9124337617672819,1.0485123382325372
Local h=1,local,1.0,assignment_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Local h=1,local,1.0,successor_edge_changes,10,1.8,2.573367875415838,0.0,0.0,6.0,0.20501006621079632,3.394989933789204
Local h=2,local,2.0,weighted_delay,10,5659.600715669296,453.6237333569143,5497.666363084512,5114.87893230226,6614.5688743740775,5378.441812838413,5940.7596185001785
Local h=2,local,2.0,weighted_mean_delay,10,20.688334446917732,1.3371400852693356,20.525551895402053,18.991297025919486,23.70813216621533,19.85956643576581,21.517102458069655
Local h=2,local,2.0,high_priority_mean_delay,10,17.19679614546315,1.3305050215519516,16.82644133011048,15.967304042236702,19.64200882437528,16.372140589409614,18.021451701516686
Local h=2,local,2.0,mean_delay,10,26.019675148925693,1.9469780793605869,25.982883969755157,22.549920515106123,28.74251114630122,24.812925633026587,27.226424664824798
Local h=2,local,2.0,makespan,10,123.04108848141023,4.935160120038841,121.62068835420258,115.10088635082714,129.35076698855204,119.9822445484075,126.09993241441296
Local h=2,local,2.0,initial_planning_runtime,10,0.7815984800014121,0.03864553139298099,0.7854276500038395,0.7361786000037682,0.860975800002052,0.7576457314858976,0.8055512285169265
Local h=2,local,2.0,total_replanning_runtime,10,0.22301836000406178,0.1346045414675378,0.17126085001291355,0.1329809000017121,0.5694966999944882,0.1395896008538212,0.30644711915430234
Local h=2,local,2.0,mean_replanning_runtime,10,0.00892073440016241,0.0053841816587015265,0.0068504340005164505,0.0053192360000684,0.0227798679997795,0.005583584034152777,0.012257884766172043
Local h=2,local,2.0,max_replanning_runtime,10,0.04521760999996327,0.02038407667140287,0.03553079999983305,0.0301457999958074,0.0904809000057866,0.032583428384860474,0.05785179161506607
Local h=2,local,2.0,total_algorithm_runtime,10,1.004616840005474,0.1415286653578806,0.9790177499999118,0.8952829000190832,1.3753512999901432,0.9168964644054782,1.0923372156054698
Local h=2,local,2.0,runner_wall_runtime,10,1.0127878199993574,0.1417507937484153,0.9870032499966328,0.902474300004542,1.3837332000039169,0.9249297677965346,1.1006458722021804
Local h=2,local,2.0,assignment_changes,10,16.4,5.719362823873925,16.0,5.0,28.0,12.855102195486525,19.944897804513474
Local h=2,local,2.0,successor_edge_changes,10,23.9,12.818822965554295,23.0,10.0,53.0,15.954811211249357,31.84518878875064
Local h=3,local,3.0,weighted_delay,10,5632.095532531504,410.50510449017344,5466.810300053534,5200.867304815922,6462.319575794128,5377.66183275389,5886.529232309119
Local h=3,local,3.0,weighted_mean_delay,10,20.58694230720791,1.1273577264971544,20.466312121881565,19.207356990131625,23.162435755534503,19.888198749117958,21.28568586529786
Local h=3,local,3.0,high_priority_mean_delay,10,17.353363162700823,1.1530942033254463,16.911722999142178,16.426339015887294,19.855062559214677,16.638667971008662,18.068058354392985
Local h=3,local,3.0,mean_delay,10,25.691038872323134,1.9408312048486005,25.58947284025596,22.56311405257352,28.84383629785356,24.488099228718053,26.893978515928215
Local h=3,local,3.0,makespan,10,122.54640631846095,5.546495742948423,120.24599100580853,114.84722906996858,130.84662168644184,119.10865264075257,125.98415999616934
Local h=3,local,3.0,initial_planning_runtime,10,0.939223260000017,0.021081120455688804,0.9450513500000852,0.8941988000001402,0.9636713999998392,0.9261570461714217,0.9522894738286123
Local h=3,local,3.0,total_replanning_runtime,10,0.5808292300003359,0.27938451970754796,0.49548855000011827,0.3111789999998109,1.3122812999995404,0.40766491064779786,0.753993549352874
Local h=3,local,3.0,mean_replanning_runtime,10,0.0232331692000134,0.01117538078830193,0.01981954200000465,0.0124471599999924,0.0524912519999816,0.01630659642591187,0.030159741974114928
Local h=3,local,3.0,max_replanning_runtime,10,0.10432413000003175,0.006740142628334594,0.10611655000025165,0.0856241000001318,0.1098783999996158,0.10014654631788526,0.10850171368217824
Local h=3,local,3.0,total_algorithm_runtime,10,1.520052490000353,0.27763090422206566,1.4232236500001818,1.27485039999965,2.263126499999544,1.347975072786371,1.6921299072143348
Local h=3,local,3.0,runner_wall_runtime,10,1.5332223899999917,0.2787520055756927,1.4346909500000038,1.2878764999995838,2.279456199999913,1.3604501069679995,1.705994673031984
Local h=3,local,3.0,assignment_changes,10,26.5,5.816642788871716,25.5,20.0,38.0,22.894807448508008,30.105192551491992
Local h=3,local,3.0,successor_edge_changes,10,39.2,18.695216262753185,35.0,13.0,83.0,27.612584911014693,50.78741508898531
Full,reference,,weighted_delay,10,5553.357334591161,413.1371568647069,5455.96827353962,5063.279491921068,6398.4947071435845,5297.292271850368,5809.422397331954
Full,reference,,weighted_mean_delay,10,20.295825834031984,1.0927401315277867,20.18068352387936,19.008034103923915,22.933672785460875,19.618538483597227,20.97311318446674
Full,reference,,high_priority_mean_delay,10,16.711630905361705,1.1791649640555024,16.449354021702458,15.399963405627878,18.91317942826285,15.980776888758456,17.442484921964954
Full,reference,,mean_delay,10,25.71217688596974,1.9749653552591366,25.784822678607906,22.19733224041172,29.183962770710032,24.488080676751416,26.936273095188064
Full,reference,,makespan,10,122.87500064814542,4.8999303256063484,122.32499746970929,116.4805830445484,130.7368556448636,119.8379923679563,125.91200892833453
Full,reference,,initial_planning_runtime,10,0.7854977699986193,0.02848953801150713,0.7880031999957282,0.7389925999959814,0.8335499999957392,0.7678397713965671,0.8031557686006715
Full,reference,,total_replanning_runtime,10,1.796861670006183,1.0949497552806047,1.3481749500206206,0.9136886000269442,4.581576800002949,1.1182047805805677,2.4755185594317983
Full,reference,,mean_replanning_runtime,10,0.07187446680024727,0.04379799021122417,0.0539269980008248,0.0365475440010777,0.1832630720001179,0.04472819122322267,0.09902074237727188
Full,reference,,max_replanning_runtime,10,0.30220323000030475,0.07586657964639465,0.27281315000072937,0.2570688999985577,0.5088124999965657,0.2551806367663457,0.34922582323426377
Full,reference,,total_algorithm_runtime,10,2.582359440004802,1.0993251093995149,2.134446250016481,1.7043319000222257,5.383996300006402,1.9009906780004182,3.2637282020091862
Full,reference,,runner_wall_runtime,10,2.5903205800008435,1.0999199135917128,2.1421424500040303,1.7126742000036757,5.393517399999837,1.9085831545386638,3.2720580054630233
Full,reference,,assignment_changes,10,59.6,15.917844633548155,54.5,45.0,95.0,49.73401768139071,69.46598231860929
Full,reference,,successor_edge_changes,10,83.7,40.17199134831243,75.0,49.0,178.0,58.80114180217183,108.59885819782818
